time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447050000	18.9955	7.49455	4.81619	1.02598	0.389399	radar	4.07489	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0871	7.75539	4.86283	1.07062	0.417454	lidar	1.18289	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2078	7.96278	4.86366	1.0859	0.409218	radar	0.286648	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2873	8.17818	4.84319	1.11657	0.420896	lidar	1.39945	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3864	8.38908	4.84516	1.13289	0.410095	radar	2.27807	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4815	8.53768	4.74789	1.13703	0.392879	lidar	3.92414	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5724	8.74681	4.72424	1.16025	0.400973	radar	0.57424	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7341	8.9206	4.70274	1.14545	0.36246	lidar	4.17072	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8074	9.14236	4.67909	1.17903	0.387752	radar	1.01822	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9377	9.36698	4.71086	1.18469	0.372258	lidar	2.97991	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9832	9.589	4.66081	1.22956	0.415456	radar	2.73659	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0707	9.82803	4.69205	1.25005	0.414883	lidar	0.73721	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1312	10.0763	4.73327	1.2764	0.415906	radar	7.13502	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1794	10.3478	4.78852	1.31289	0.432617	lidar	0.908094	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1956	10.5834	4.75459	1.36059	0.473745	radar	3.00868	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.254	10.8559	4.81478	1.38701	0.475964	lidar	2.01061	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.283	11.1117	4.84371	1.41634	0.47866	radar	4.88585	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3173	11.3506	4.84277	1.44015	0.478547	lidar	0.000318032	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2634	11.5989	4.79642	1.51692	0.562598	radar	10.8989	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.335	11.8397	4.8082	1.52137	0.536909	lidar	4.70661	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3607	12.0738	4.82571	1.52692	0.495247	radar	3.61377	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3474	12.3603	4.89185	1.56444	0.507582	lidar	1.14151	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2977	12.5988	4.85613	1.6229	0.563856	radar	3.33661	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3226	12.8385	4.85246	1.63511	0.546972	lidar	1.81155	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3099	13.0698	4.83295	1.66185	0.550152	radar	2.10916	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2749	13.2837	4.79422	1.69159	0.553291	lidar	1.04391	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2363	13.5182	4.79504	1.7183	0.547685	radar	1.28739	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2155	13.7769	4.82576	1.73958	0.540636	lidar	1.29061	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1597	14.0043	4.80735	1.77626	0.558537	radar	0.877742	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1043	14.2595	4.83941	1.80551	0.559296	lidar	0.349926	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0324	14.4883	4.83533	1.83729	0.562172	radar	1.38957	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9237	14.7428	4.88209	1.88064	0.577185	lidar	1.24078	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8572	14.9608	4.8639	1.89794	0.554376	radar	3.38641	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8262	15.179	4.82782	1.9076	0.536344	lidar	2.13674	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.694	15.3891	4.80281	1.98241	0.628981	radar	7.98675	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
